teste,tempo,media
4,5.903899908,5.965898863
4,6.06099987,5.965898863
4,5.070800066,5.965898863
4,6.050899982,5.965898863
4,5.047899961,5.965898863
4,5.966399908,5.965898863
4,9.028199911,5.965898863
4,3.10890007,5.965898863
4,5.204500198,5.965898863
4,6.051200151,5.965898863
4,6.037900209,5.965898863
4,5.977999926,5.965898863
4,6.035000086,5.965898863
4,6.053100109,5.965898863
4,5.051399946,5.965898863
4,6.051200151,5.965898863
4,5.881500006,5.965898863
4,5.042200089,5.965898863
4,5.046999931,5.965898863
4,5.086699963,5.965898863
4,6.036200047,5.965898863
4,5.034199953,5.965898863
4,6.022800207,5.965898863
4,6.050300121,5.965898863
4,6.051500082,5.965898863
4,6.040600061,5.965898863
4,6.043799877,5.965898863
4,2.065299988,5.965898863
4,6.052600145,5.965898863
4,9.065700054,5.965898863
4,5.996999979,5.965898863
4,6.052000046,5.965898863
4,3.070300102,5.965898863
4,5.122200012,5.965898863
4,5.874500036,5.965898863
4,9.068599939,5.965898863
4,6.0479002,5.965898863
4,5.051499844,5.965898863
4,6.050899982,5.965898863
4,3.036299944,5.965898863
4,8.054800034,5.965898863
4,5.052299976,5.965898863
4,3.116500139,5.965898863
4,6.052200079,5.965898863
4,6.193799973,5.965898863
4,6.044900179,5.965898863
4,5.89929986,5.965898863
4,5.05340004,5.965898863
4,9.03579998,5.965898863
4,6.044399977,5.965898863
4,8.054299831,5.965898863
4,6.051700115,5.965898863
4,6.05189991,5.965898863
4,5.049200058,5.965898863
4,5.931200027,5.965898863
4,5.051399946,5.965898863
4,6.029399872,5.965898863
4,6.051800013,5.965898863
4,6.052399874,5.965898863
4,6.051999807,5.965898863
4,3.222100019,5.965898863
4,6.028699875,5.965898863
4,9.052000046,5.965898863
4,6.044699907,5.965898863
4,6.032700062,5.965898863
4,6.05279994,5.965898863
4,6.020799875,5.965898863
4,6.016400099,5.965898863
4,6.040899992,5.965898863
4,6.051100016,5.965898863
4,5.051300049,5.965898863
4,6.024300098,5.965898863
4,6.052299976,5.965898863
4,6.051199913,5.965898863
4,5.982699871,5.965898863
4,8.034699917,5.965898863
4,9.052399874,5.965898863
4,9.052400112,5.965898863
5,5.868099928,5.871250012
5,5.944800138,5.871250012
5,5.145500183,5.871250012
5,9.058000088,5.871250012
5,5.051599979,5.871250012
5,9.052299976,5.871250012
5,6.052099943,5.871250012
5,3.158599854,5.871250012
5,5.127799988,5.871250012
5,6.052299976,5.871250012
5,5.893100023,5.871250012
5,6.05340004,5.871250012
5,5.059599876,5.871250012
5,8.876999855,5.871250012
5,5.039200068,5.871250012
5,5.051500082,5.871250012
5,9.051399946,5.871250012
5,3.232000113,5.871250012
5,5.155900002,5.871250012
5,6.052400112,5.871250012
5,5.998600006,5.871250012
5,5.051699877,5.871250012
5,5.051400185,5.871250012
5,6.051599979,5.871250012
5,5.051699877,5.871250012
5,5.942399979,5.871250012
5,5.811699867,5.871250012
5,5.990399837,5.871250012
5,5.930199862,5.871250012
5,5.997400045,5.871250012
5,6.025900126,5.871250012
5,5.051599979,5.871250012
5,5.051100016,5.871250012
5,6.051800013,5.871250012
5,5.051100016,5.871250012
5,5.884900093,5.871250012
5,6.012000084,5.871250012
5,3.073400021,5.871250012
5,9.053100109,5.871250012
5,9.117900133,5.871250012
5,5.051400185,5.871250012
5,5.886399984,5.871250012
5,2.0473001,5.871250012
5,5.051300049,5.871250012
5,5.052000046,5.871250012
5,9.051399946,5.871250012
5,5.885699987,5.871250012
5,3.051200151,5.871250012
5,5.050699949,5.871250012
5,3.180199862,5.871250012
5,5.079600096,5.871250012
5,5.051100016,5.871250012
5,3.069000006,5.871250012
5,5.125200033,5.871250012
5,5.052299976,5.871250012
5,5.051599979,5.871250012
5,5.897000074,5.871250012
5,5.053100109,5.871250012
5,12.05280018,5.871250012
5,6.051399946,5.871250012
5,8.051699877,5.871250012
5,5.828999996,5.871250012
5,5.922800064,5.871250012
5,5.921499968,5.871250012
5,5.868999958,5.871250012
5,5.051100016,5.871250012
5,5.979500055,5.871250012
5,5.998099804,5.871250012
5,5.117599964,5.871250012
5,5.051800013,5.871250012
5,3.194000006,5.871250012
5,5.876600027,5.871250012
5,9.052599907,5.871250012
5,5.12680006,5.871250012
5,5.992000103,5.871250012
5,5.051700115,5.871250012
5,8.064500093,5.871250012
5,5.905699968,5.871250012
5,5.092700005,5.871250012
5,5.079099894,5.871250012
5,5.051399946,5.871250012
5,6.017800093,5.871250012
5,6.051500082,5.871250012
5,6.051500082,5.871250012
5,6.085700035,5.871250012
5,8.050600052,5.871250012
5,9.058899879,5.871250012
5,9.057600021,5.871250012
6,5.050899982,6.086484069
